day	holiday	unam-vacation
20260510	0	0
20260515	0	0
20260706	0	1
20260707	0	1
20260708	0	1
20260709	0	1
20260710	0	1
20260713	0	1
20260714	0	1
20260715	0	1
20260716	0	1
20260717	0	1
20260720	0	1
20260721	0	1
20260722	0	1
20260723	0	1
20260724	0	1
20260915	0	0
20260916	1	0
20261101	0	0
20261102	1	0
20261116	1	0
20261212	0	0
20261214	0	1
20261215	0	1
20261216	0	1
20261217	0	1
20261218	0	1
20261221	0	1
20261222	0	1
20261223	0	1
20261224	0	1
20261225	1	1
20261228	0	1
20261229	0	1
20261230	0	1
20261231	0	1
20270101	1	1
20270201	1	0
20270315	1	0
20270322	0	1
20270323	0	1
20270324	0	1
20270325	1	1
20270326	1	1
20270501	1	0
20270510	0	0
20270515	0	0
20270705	0	1
20270706	0	1
20270707	0	1
20270708	0	1
20270709	0	1
20270712	0	1
20270713	0	1
20270714	0	1
20270715	0	1
20270716	0	1
20270719	0	1
20270720	0	1
20270721	0	1
20270722	0	1
20270723	0	1
